Energy Savings Regressions,None,None_1,None_2,None_3,None_4,None_5,Regression Form (a+bx+cx^2),None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75,None_76,None_77
,,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Notes/Assumptions,Heating Savings Curve Comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,SGS Type,Office Size,HVAC/Fuel Type,Fuel Type,Hours,a,b,c,a,b,c,,HDD,1 v 10,,% delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Single,Double,Mid,PVAV_Gas,Natural Gas,8760,0.9597235022338,9.54358871e-05,-1.8077e-09,7.49238888,0.0055275,-3.6e-07,,8000,=$H$5+$I$5*O27+$J$5*O27^2,=$H$14+$I$14*O27+$J$14*O27^2,=(P27-Q27)/P27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Double,Single,Mid,PVAV_Gas,Natural Gas,2080,0.017464607035,3.82398251e-05,-1.454e-09,1.2340869921184,0.0008629079321,-8.2844e-08,,9000,=$H$5+$I$5*O28+$J$5*O28^2,=$H$14+$I$14*O28+$J$14*O28^2,=(P28-Q28)/P28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Double,Single,Mid,PVAV_Gas,Natural Gas,2912,0.0432950427463,4.15921277e-05,-9.041e-10,1.2423496865765,0.0018366905584,-1.705787e-07,,10000,=$H$5+$I$5*O29+$J$5*O29^2,=$H$14+$I$14*O29+$J$14*O29^2,=(P29-Q29)/P29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Double,Single,Mid,PVAV_Gas,Natural Gas,8760,0.5011486514663,2.95161651e-05,-2.97e-10,1.6695080451,0.0033280569,-2.268e-07,,11000,=$H$5+$I$5*O30+$J$5*O30^2,=$H$14+$I$14*O30+$J$14*O30^2,=(P30-Q30)/P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Single,Single,Large,VAV,Natural Gas,2080,0.0510336159676,8.78849803e-05,-3.0213e-09,2.9951823980196,0.0005443622678,-1.19223e-08,,12000,=$H$5+$I$5*O31+$J$5*O31^2,=$H$14+$I$14*O31+$J$14*O31^2,=(P31-Q31)/P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Single,Single,Large,VAV,Natural Gas,2912,0.0962203648222,0.0001208225601,-4.1033e-09,4.6910108842017,0.001137080156,-6.83714e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Single,Single,Large,VAV,Natural Gas,8760,0.872183726124,0.0001331850165,-3.3867e-09,7.8630931031137,0.0041844902139,-2.586553e-07,,HDD,3 v 12,,% delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Single,Double,Large,VAV,Natural Gas,2080,0.0685841357452,6.57527702e-05,-4.825e-10,5.1829375742786,0.0010798818489,-8.23568e-08,,0,=$H$6+$I$6*O34+$J$6*O34^2,=$H$15+$I$15*O34+$J$15*O34^2,=(P34-Q34)/P34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Single,Double,Large,VAV,Natural Gas,2912,0.1108442587284,9.48841876e-05,-1.2252e-09,6.7949827164281,0.0025987321275,-2.47981e-07,,1000,=$H$6+$I$6*O35+$J$6*O35^2,=$H$15+$I$15*O35+$J$15*O35^2,=(P35-Q35)/P35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Single,Double,Large,VAV,Natural Gas,8760,1.0745531119272,0.0001011670958,-2.0052e-09,9.501888482849,0.0059375221572,-4.190441e-07,,2000,=$H$6+$I$6*O36+$J$6*O36^2,=$H$15+$I$15*O36+$J$15*O36^2,=(P36-Q36)/P36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
