,,,,,,,,,"Electric Savings, kWh/SF",,"Gas Savings, therms/SF",,Regression_Done,,Base_EUI,CSW_EUI,Percent,Regression_Done,,Baseline Peak Cooling,Clg Load Reduced,Htg Load Reduced,Baseline Peak Cooling,Base Clg Load,CSW Ld Red,CSW Ld Red,CWS Clg Load,Regression_done,,Infil Savings Reduction Factors,,Cool Adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,CSW_Type,Building_Size,Building_Type,HVAC_System_Type,Fuel_Type,PTHP,Hours,Look-up_Conc,Electric_savings_Heat_kWhperSF,electric_savings_Cooling_and_Aux_kWhperSF,Gas_savings_Heat_thermsperSF,,,,Base_EUI_kBtuperSFperyr,CSW_EUI_kBtuperSFperyr,Percent,Regression_Done,,baseline_peak_cooling_BtuhperSF,Clg_Load_reduced_BtuhperSF,htg_load_reduced_BtuhperSF,baseline_peak_cooling_Btuh,base_cooling_load_Tons,CSW_ld_red_Btuh,csw_ld_red_Tons,CWS_Clg_load_Tons,,,infiltration_savings_reduction_factors_Heat,infiltration_reduction_factors_Cool,Cool_adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Small,Hotel,PTHP,Electric,Low,33,"=CONCATENATE(A55,B55,C55,D55,E55,F55,G55,H55)",='Regresson List_SH'!H14+'Regresson List_SH'!I14*Hotel!$C$23+'Regresson List_SH'!J14*Hotel!$C$23^2,='Regresson List_SH'!K14+'Regresson List_SH'!L14*Hotel!$C$24+'Regresson List_SH'!M14*Hotel!$C$24^2,0,=M54,Y,,='Regresson List_SH'!H33+'Regresson List_SH'!I33*Hotel!$C$23+'Regresson List_SH'!J33*Hotel!$C$23^2,=P55-Hotel!$F$35,=1-(Q55/P55),Y,,=U45,=V45,,=U55*Hotel!$F$18,=X55/12000,=V55*Hotel!$F$27,=Z55/12000,=Y55-AA55,Y,,,,=AG56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Small,Hotel,PTHP,Electric,High,33,"=CONCATENATE(A56,B56,C56,D56,E56,F56,G56,H56)",='Regresson List_SH'!N14+'Regresson List_SH'!O14*Hotel!$C$23+'Regresson List_SH'!P14*Hotel!$C$23^2,=K55,0,=M55,Y,,=P55,=P56-Hotel!$F$35,=1-(Q56/P56),Y,,=U55,=V55,,=U56*Hotel!$F$18,=X56/12000,=V56*Hotel!$F$27,=Z56/12000,=Y56-AA56,Y,,,,=AG58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Small,Hotel,PTHP,Electric,Low,100,"=CONCATENATE(A57,B57,C57,D57,E57,F57,G57,H57)",='Regresson List_SH'!H15+'Regresson List_SH'!I15*Hotel!$C$23+'Regresson List_SH'!J15*Hotel!$C$23^2,='Regresson List_SH'!K15+'Regresson List_SH'!L15*Hotel!$C$24+'Regresson List_SH'!M15*Hotel!$C$24^2,0,=M56,Y,,='Regresson List_SH'!H34+'Regresson List_SH'!I34*Hotel!$C$23+'Regresson List_SH'!J34*Hotel!$C$23^2,=P57-Hotel!$F$35,=1-(Q57/P57),Y,,=U56,=V56,,=U57*Hotel!$F$18,=X57/12000,=V57*Hotel!$F$27,=Z57/12000,=Y57-AA57,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Small,Hotel,PTHP,Electric,High,100,"=CONCATENATE(A58,B58,C58,D58,E58,F58,G58,H58)",='Regresson List_SH'!N15+'Regresson List_SH'!O15*Hotel!$C$23+'Regresson List_SH'!P15*Hotel!$C$23^2,='Regresson List_SH'!K15+'Regresson List_SH'!L15*Hotel!$C$24+'Regresson List_SH'!M15*Hotel!$C$24^2,0,=M57,Y,,=P57,=P58-Hotel!$F$35,=1-(Q58/P58),Y,,=U46,=V46,,=U58*Hotel!$F$18,=X58/12000,=V58*Hotel!$F$27,=Z58/12000,=Y58-AA58,Y,,,,='Regresson List_SH'!D37+'Regresson List_SH'!E37*Hotel!$C$24+'Regresson List_SH'!F37*Hotel!$C$24^2+'Regresson List_SH'!G37*Hotel!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Hotel,FCU,Electric,,33,"=CONCATENATE(A59,B59,C59,D59,E59,F59,H59)",='Regresson List_LH'!H4+'Regresson List_LH'!I4*Hotel!$C$23+'Regresson List_LH'!J4*Hotel!$C$23^2,='Regresson List_LH'!K4+'Regresson List_LH'!L4*Hotel!$C$24+'Regresson List_LH'!M4*Hotel!$C$24^2,0,,Y,,='Regresson List_LH'!$H27+'Regresson List_LH'!$I27*Hotel!$C$23+'Regresson List_LH'!$J27*Hotel!$C$23^2,=P59-Hotel!$F$35,=1-(Q59/P59),Y,,='Regresson List_LH'!H20+'Regresson List_LH'!I20*Hotel!$C$24+'Regresson List_LH'!J20*Hotel!$C$24^2,='Regresson List_LH'!K20+'Regresson List_LH'!L20*Hotel!$C$24+'Regresson List_LH'!M20*Hotel!$C$24^2,,=U59*Hotel!$F$18,=X59/12000,=V59*Hotel!$F$27,=Z59/12000,=Y59-AA59,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Hotel,FCU,Electric,,100,"=CONCATENATE(A60,B60,C60,D60,E60,F60,H60)",='Regresson List_LH'!H5+'Regresson List_LH'!I5*Hotel!$C$23+'Regresson List_LH'!J5*Hotel!$C$23^2,='Regresson List_LH'!K5+'Regresson List_LH'!L5*Hotel!$C$24+'Regresson List_LH'!M5*Hotel!$C$24^2,0,,Y,,='Regresson List_LH'!$H28+'Regresson List_LH'!$I28*Hotel!$C$23+'Regresson List_LH'!$J28*Hotel!$C$23^2,=P60-Hotel!$F$35,=1-(Q60/P60),Y,,=U59,=V59,,=U60*Hotel!$F$18,=X60/12000,=V60*Hotel!$F$27,=Z60/12000,=Y60-AA60,Y,,,,=AG61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Hotel,FCU,Electric,,33,"=CONCATENATE(A61,B61,C61,D61,E61,F61,H61)",='Regresson List_LH'!H6+'Regresson List_LH'!I6*Hotel!$C$23+'Regresson List_LH'!J6*Hotel!$C$23^2,='Regresson List_LH'!K6+'Regresson List_LH'!L6*Hotel!$C$24+'Regresson List_LH'!M6*Hotel!$C$24^2,0,,Y,,='Regresson List_LH'!$H27+'Regresson List_LH'!$I27*Hotel!$C$23+'Regresson List_LH'!$J27*Hotel!$C$23^2,=P61-Hotel!$F$35,=1-(Q61/P61),Y,,='Regresson List_LH'!H21+'Regresson List_LH'!I21*Hotel!$C$24+'Regresson List_LH'!J21*Hotel!$C$24^2,='Regresson List_LH'!K21+'Regresson List_LH'!L21*Hotel!$C$24+'Regresson List_LH'!M21*Hotel!$C$24^2,,=U61*Hotel!$F$18,=X61/12000,=V61*Hotel!$F$27,=Z61/12000,=Y61-AA61,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Hotel,FCU,Electric,,100,"=CONCATENATE(A62,B62,C62,D62,E62,F62,H62)",='Regresson List_LH'!H7+'Regresson List_LH'!I7*Hotel!$C$23+'Regresson List_LH'!J7*Hotel!$C$23^2,='Regresson List_LH'!K7+'Regresson List_LH'!L7*Hotel!$C$24+'Regresson List_LH'!M7*Hotel!$C$24^2,0,,Y,,='Regresson List_LH'!$H28+'Regresson List_LH'!$I28*Hotel!$C$23+'Regresson List_LH'!$J28*Hotel!$C$23^2,=P62-Hotel!$F$35,=1-(Q62/P62),Y,,=U61,=V61,,=U62*Hotel!$F$18,=X62/12000,=V62*Hotel!$F$27,=Z62/12000,=Y62-AA62,Y,,,,=AG63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Hotel,FCU,Electric,,33,"=CONCATENATE(A63,B63,C63,D63,E63,F63,H63)",='Regresson List_LH'!H8+'Regresson List_LH'!I8*Hotel!$C$23+'Regresson List_LH'!J8*Hotel!$C$23^2,='Regresson List_LH'!K8+'Regresson List_LH'!L8*Hotel!$C$24+'Regresson List_LH'!M8*Hotel!$C$24^2,0,,Y,,='Regresson List_LH'!$H29+'Regresson List_LH'!$I29*Hotel!$C$23+'Regresson List_LH'!$J29*Hotel!$C$23^2,=P63-Hotel!$F$35,=1-(Q63/P63),Y,,='Regresson List_LH'!H22+'Regresson List_LH'!I22*Hotel!$C$24+'Regresson List_LH'!J22*Hotel!$C$24^2,='Regresson List_LH'!K22+'Regresson List_LH'!L22*Hotel!$C$24+'Regresson List_LH'!M22*Hotel!$C$24^2,,=U63*Hotel!$F$18,=X63/12000,=V63*Hotel!$F$27,=Z63/12000,=Y63-AA63,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Hotel,FCU,Electric,,100,"=CONCATENATE(A64,B64,C64,D64,E64,F64,H64)",='Regresson List_LH'!H9+'Regresson List_LH'!I9*Hotel!$C$23+'Regresson List_LH'!J9*Hotel!$C$23^2,='Regresson List_LH'!K9+'Regresson List_LH'!L9*Hotel!$C$24+'Regresson List_LH'!M9*Hotel!$C$24^2,0,,Y,,='Regresson List_LH'!$H30+'Regresson List_LH'!$I30*Hotel!$C$23+'Regresson List_LH'!$J30*Hotel!$C$23^2,=P64-Hotel!$F$35,=1-(Q64/P64),Y,,=U63,=V63,,=U64*Hotel!$F$18,=X64/12000,=V64*Hotel!$F$27,=Z64/12000,=Y64-AA64,Y,,,,=AG65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Hotel,FCU,Natural Gas,,33,"=CONCATENATE(A65,B65,C65,D65,E65,F65,H65)",0,='Regresson List_LH'!K10+'Regresson List_LH'!L10*Hotel!$C$24+'Regresson List_LH'!M10*Hotel!$C$24^2,='Regresson List_LH'!H10+'Regresson List_LH'!I10*Hotel!$C$23+'Regresson List_LH'!J10*Hotel!$C$23^2,,Y,,='Regresson List_LH'!$H31+'Regresson List_LH'!$I31*Hotel!$C$23+'Regresson List_LH'!$J31*Hotel!$C$23^2,=P65-Hotel!$F$35,=1-(Q65/P65),Y,,=U59,=V59,,=U65*Hotel!$F$18,=X65/12000,=V65*Hotel!$F$27,=Z65/12000,=Y65-AA65,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Hotel,FCU,Natural Gas,,100,"=CONCATENATE(A66,B66,C66,D66,E66,F66,H66)",0,='Regresson List_LH'!K11+'Regresson List_LH'!L11*Hotel!$C$24+'Regresson List_LH'!M11*Hotel!$C$24^2,='Regresson List_LH'!H11+'Regresson List_LH'!I11*Hotel!$C$23+'Regresson List_LH'!J11*Hotel!$C$23^2,,Y,,='Regresson List_LH'!$H32+'Regresson List_LH'!$I32*Hotel!$C$23+'Regresson List_LH'!$J32*Hotel!$C$23^2,=P66-Hotel!$F$35,=1-(Q66/P66),Y,,=U60,=V60,,=U66*Hotel!$F$18,=X66/12000,=V66*Hotel!$F$27,=Z66/12000,=Y66-AA66,Y,,,,=AG67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Hotel,FCU,Natural Gas,,33,"=CONCATENATE(A67,B67,C67,D67,E67,F67,H67)",0,='Regresson List_LH'!K12+'Regresson List_LH'!L12*Hotel!$C$24+'Regresson List_LH'!M12*Hotel!$C$24^2,='Regresson List_LH'!H12+'Regresson List_LH'!I12*Hotel!$C$23+'Regresson List_LH'!J12*Hotel!$C$23^2,,Y,,='Regresson List_LH'!$H31+'Regresson List_LH'!$I31*Hotel!$C$23+'Regresson List_LH'!$J31*Hotel!$C$23^2,=P67-Hotel!$F$35,=1-(Q67/P67),Y,,=U61,=V61,,=U67*Hotel!$F$18,=X67/12000,=V67*Hotel!$F$27,=Z67/12000,=Y67-AA67,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Hotel,FCU,Natural Gas,,100,"=CONCATENATE(A68,B68,C68,D68,E68,F68,H68)",0,='Regresson List_LH'!K13+'Regresson List_LH'!L13*Hotel!$C$24+'Regresson List_LH'!M13*Hotel!$C$24^2,='Regresson List_LH'!H13+'Regresson List_LH'!I13*Hotel!$C$23+'Regresson List_LH'!J13*Hotel!$C$23^2,,Y,,='Regresson List_LH'!$H32+'Regresson List_LH'!$I32*Hotel!$C$23+'Regresson List_LH'!$J32*Hotel!$C$23^2,=P68-Hotel!$F$35,=1-(Q68/P68),Y,,=U62,=V62,,=U68*Hotel!$F$18,=X68/12000,=V68*Hotel!$F$27,=Z68/12000,=Y68-AA68,Y,,,,=AG69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Hotel,FCU,Natural Gas,,33,"=CONCATENATE(A69,B69,C69,D69,E69,F69,H69)",0,='Regresson List_LH'!K14+'Regresson List_LH'!L14*Hotel!$C$24+'Regresson List_LH'!M14*Hotel!$C$24^2,='Regresson List_LH'!H14+'Regresson List_LH'!I14*Hotel!$C$23+'Regresson List_LH'!J14*Hotel!$C$23^2,,Y,,='Regresson List_LH'!$H33+'Regresson List_LH'!$I33*Hotel!$C$23+'Regresson List_LH'!$J33*Hotel!$C$23^2,=P69-Hotel!$F$35,=1-(Q69/P69),Y,,=U63,=V63,,=U69*Hotel!$F$18,=X69/12000,=V69*Hotel!$F$27,=Z69/12000,=Y69-AA69,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Hotel,FCU,Natural Gas,,100,"=CONCATENATE(A70,B70,C70,D70,E70,F70,H70)",0,='Regresson List_LH'!K15+'Regresson List_LH'!L15*Hotel!$C$24+'Regresson List_LH'!M15*Hotel!$C$24^2,='Regresson List_LH'!H15+'Regresson List_LH'!I15*Hotel!$C$23+'Regresson List_LH'!J15*Hotel!$C$23^2,,Y,,='Regresson List_LH'!$H34+'Regresson List_LH'!$I34*Hotel!$C$23+'Regresson List_LH'!$J34*Hotel!$C$23^2,=P70-Hotel!$F$35,=1-(Q70/P70),Y,,=U64,=V64,,=U70*Hotel!$F$18,=X70/12000,=V70*Hotel!$F$27,=Z70/12000,=Y70-AA70,Y,,,,='Regresson List_LH'!D37+'Regresson List_LH'!E37*Hotel!$C$24+'Regresson List_LH'!F37*Hotel!$C$24^2+'Regresson List_LH'!G37*Hotel!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,PS,FCU,Electric,,,"=CONCATENATE(A71,B71,C71,D71,E71,F71,H71)",='Regresson List_PS'!G4+'Regresson List_PS'!H4*School!$C$23+'Regresson List_PS'!I4*School!$C$23^2,='Regresson List_PS'!J4+'Regresson List_PS'!K4*School!$C$24+'Regresson List_PS'!L4*School!$C$24^2,0,,Y,,='Regresson List_PS'!G34+'Regresson List_PS'!H34*School!$C$23+'Regresson List_PS'!I34*School!$C$23^2,=P71-School!$F$35,=1-(Q71/P71),Y,,='Regresson List_PS'!G23+'Regresson List_PS'!H23*School!$C$24+'Regresson List_PS'!I23*School!$C$24^2,='Regresson List_PS'!J23+'Regresson List_PS'!K23*School!$C$24+'Regresson List_PS'!L23*School!$C$24^2,,=U71*School!$F$18,=X71/12000,=V71*School!$F$27,=Z71/12000,=Y71-AA71,Y,,,,=AG83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,PS,FCU,Electric,,,"=CONCATENATE(A72,B72,C72,D72,E72,F72,H72)",='Regresson List_PS'!G5+'Regresson List_PS'!H5*School!$C$23+'Regresson List_PS'!I5*School!$C$23^2,='Regresson List_PS'!J5+'Regresson List_PS'!K5*School!$C$24+'Regresson List_PS'!L5*School!$C$24^2,0,,Y,,=P71,=P72-School!$F$35,=1-(Q72/P72),Y,,='Regresson List_PS'!G24+'Regresson List_PS'!H24*School!$C$24+'Regresson List_PS'!I24*School!$C$24^2,='Regresson List_PS'!J24+'Regresson List_PS'!K24*School!$C$24+'Regresson List_PS'!L24*School!$C$24^2,,=U72*School!$F$18,=X72/12000,=V72*School!$F$27,=Z72/12000,=Y72-AA72,Y,,,,=AG84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,PS,FCU,Electric,,,"=CONCATENATE(A73,B73,C73,D73,E73,F73,H73)",='Regresson List_PS'!G6+'Regresson List_PS'!H6*School!$C$23+'Regresson List_PS'!I6*School!$C$23^2,='Regresson List_PS'!J6+'Regresson List_PS'!K6*School!$C$24+'Regresson List_PS'!L6*School!$C$24^2,0,,Y,,='Regresson List_PS'!G35+'Regresson List_PS'!H35*School!$C$23+'Regresson List_PS'!I35*School!$C$23^2,=P73-School!$F$35,=1-(Q73/P73),Y,,='Regresson List_PS'!G25+'Regresson List_PS'!H25*School!$C$24+'Regresson List_PS'!I25*School!$C$24^2,='Regresson List_PS'!J25+'Regresson List_PS'!K25*School!$C$24+'Regresson List_PS'!L25*School!$C$24^2,,=U73*School!$F$18,=X73/12000,=V73*School!$F$27,=Z73/12000,=Y73-AA73,Y,,,,=AG85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,PS,VAV,Electric,,,"=CONCATENATE(A74,B74,C74,D74,E74,F74,H74)",='Regresson List_PS'!G7+'Regresson List_PS'!H7*School!$C$23+'Regresson List_PS'!I7*School!$C$23^2,='Regresson List_PS'!J7+'Regresson List_PS'!K7*School!$C$24+'Regresson List_PS'!L7*School!$C$24^2,0,,Y,,='Regresson List_PS'!G30+'Regresson List_PS'!H30*School!$C$23+'Regresson List_PS'!I30*School!$C$23^2,=P74-School!$F$35,=1-(Q74/P74),Y,,=U71,=V71,,=U74*School!$F$18,=X74/12000,=V74*School!$F$27,=Z74/12000,=Y74-AA74,Y,,,,=AG75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,PS,VAV,Electric,,,"=CONCATENATE(A75,B75,C75,D75,E75,F75,H75)",='Regresson List_PS'!G8+'Regresson List_PS'!H8*School!$C$23+'Regresson List_PS'!I8*School!$C$23^2,='Regresson List_PS'!J8+'Regresson List_PS'!K8*School!$C$24+'Regresson List_PS'!L8*School!$C$24^2,0,,Y,,=P74,=P75-School!$F$35,=1-(Q75/P75),Y,,=U72,=V72,,=U75*School!$F$18,=X75/12000,=V75*School!$F$27,=Z75/12000,=Y75-AA75,Y,,,,=AG76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,PS,VAV,Electric,,,"=CONCATENATE(A76,B76,C76,D76,E76,F76,H76)",='Regresson List_PS'!G9+'Regresson List_PS'!H9*School!$C$23+'Regresson List_PS'!I9*School!$C$23^2,='Regresson List_PS'!J9+'Regresson List_PS'!K9*School!$C$24+'Regresson List_PS'!L9*School!$C$24^2,0,,Y,,='Regresson List_PS'!G31+'Regresson List_PS'!H31*School!$C$23+'Regresson List_PS'!I31*School!$C$23^2,=P76-School!$F$35,=1-(Q76/P76),Y,,=U73,=V73,,=U76*School!$F$18,=X76/12000,=V76*School!$F$27,=Z76/12000,=Y76-AA76,Y,,,,=AG94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,PS,FCU,Natural Gas,,,"=CONCATENATE(A77,B77,C77,D77,E77,F77,H77)",0,=K71,='Regresson List_PS'!G10+'Regresson List_PS'!H10*School!$C$23+'Regresson List_PS'!I10*School!$C$23^2,,Y,,='Regresson List_PS'!G36+'Regresson List_PS'!H36*School!$C$23+'Regresson List_PS'!I36*School!$C$23^2,=P77-School!$F$35,=1-(Q77/P77),Y,,=U74,=V74,,=U77*School!$F$18,=X77/12000,=V77*School!$F$27,=Z77/12000,=Y77-AA77,Y,,,,=AG78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,PS,FCU,Natural Gas,,,"=CONCATENATE(A78,B78,C78,D78,E78,F78,H78)",0,=K72,='Regresson List_PS'!G11+'Regresson List_PS'!H11*School!$C$23+'Regresson List_PS'!I11*School!$C$23^2,,Y,,=P77,=P78-School!$F$35,=1-(Q78/P78),Y,,=U75,=V75,,=U78*School!$F$18,=X78/12000,=V78*School!$F$27,=Z78/12000,=Y78-AA78,Y,,,,=AG79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,PS,FCU,Natural Gas,,,"=CONCATENATE(A79,B79,C79,D79,E79,F79,H79)",0,=K73,='Regresson List_PS'!G12+'Regresson List_PS'!H12*School!$C$23+'Regresson List_PS'!I12*School!$C$23^2,,Y,,='Regresson List_PS'!G37+'Regresson List_PS'!H37*School!$C$23+'Regresson List_PS'!I37*School!$C$23^2,=P79-School!$F$35,=1-(Q79/P79),Y,,=U76,=V76,,=U79*School!$F$18,=X79/12000,=V79*School!$F$27,=Z79/12000,=Y79-AA79,Y,,,,=AG85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,PS,VAV,Natural Gas,,,"=CONCATENATE(A80,B80,C80,D80,E80,F80,H80)",0,=K74,='Regresson List_PS'!G13+'Regresson List_PS'!H13*School!$C$23+'Regresson List_PS'!I13*School!$C$23^2,,Y,,='Regresson List_PS'!G32+'Regresson List_PS'!H32*School!$C$23+'Regresson List_PS'!I32*School!$C$23^2,=P80-School!$F$35,=1-(Q80/P80),Y,,=U77,=V77,,=U80*School!$F$18,=X80/12000,=V80*School!$F$27,=Z80/12000,=Y80-AA80,Y,,,,=AG81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,PS,VAV,Natural Gas,,,"=CONCATENATE(A81,B81,C81,D81,E81,F81,H81)",0,=K75,='Regresson List_PS'!G14+'Regresson List_PS'!H14*School!$C$23+'Regresson List_PS'!I14*School!$C$23^2,,Y,,=P80,=P81-School!$F$35,=1-(Q81/P81),Y,,=U78,=V78,,=U81*School!$F$18,=X81/12000,=V81*School!$F$27,=Z81/12000,=Y81-AA81,Y,,,,=AG82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,PS,VAV,Natural Gas,,,"=CONCATENATE(A82,B82,C82,D82,E82,F82,H82)",0,=K76,='Regresson List_PS'!G15+'Regresson List_PS'!H15*School!$C$23+'Regresson List_PS'!I15*School!$C$23^2,,Y,,='Regresson List_PS'!G33+'Regresson List_PS'!H33*School!$C$23+'Regresson List_PS'!I33*School!$C$23^2,=P82-School!$F$35,=1-(Q82/P82),Y,,=U79,=V79,,=U82*School!$F$18,=X82/12000,=V82*School!$F$27,=Z82/12000,=Y82-AA82,Y,,,,=AG94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,SS,FCU,Electric,,,"=CONCATENATE(A83,B83,C83,D83,E83,F83,H83)",='Regresson List_SS'!G4+'Regresson List_SS'!H4*School!$C$23+'Regresson List_SS'!I4*School!$C$23^2,='Regresson List_SS'!J4+'Regresson List_SS'!K4*School!$C$24+'Regresson List_SS'!L4*School!$C$24^2,0,,Y,,='Regresson List_SS'!G34+'Regresson List_SS'!H34*School!$C$23+'Regresson List_SS'!I34*School!$C$23^2,=P83-School!$F$35,=1-(Q83/P83),Y,,='Regresson List_SS'!G23+'Regresson List_SS'!H23*School!$C$24+'Regresson List_SS'!I23*School!$C$24^2,='Regresson List_SS'!J23+'Regresson List_SS'!K23*School!$C$24+'Regresson List_SS'!L23*School!$C$24^2,,=U83*School!$F$18,=X83/12000,=V83*School!$F$27,=Z83/12000,=Y83-AA83,Y,,,,=AG84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,SS,FCU,Electric,,,"=CONCATENATE(A84,B84,C84,D84,E84,F84,H84)",='Regresson List_SS'!G5+'Regresson List_SS'!H5*School!$C$23+'Regresson List_SS'!I5*School!$C$23^2,='Regresson List_SS'!J5+'Regresson List_SS'!K5*School!$C$24+'Regresson List_SS'!L5*School!$C$24^2,0,,Y,,=P83,=P84-School!$F$35,=1-(Q84/P84),Y,,='Regresson List_SS'!G24+'Regresson List_SS'!H24*School!$C$24+'Regresson List_SS'!I24*School!$C$24^2,='Regresson List_SS'!J24+'Regresson List_SS'!K24*School!$C$24+'Regresson List_SS'!L24*School!$C$24^2,,=U84*School!$F$18,=X84/12000,=V84*School!$F$27,=Z84/12000,=Y84-AA84,Y,,,,=AG85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,,SS,FCU,Electric,,,"=CONCATENATE(A85,B85,C85,D85,E85,F85,H85)",='Regresson List_SS'!G6+'Regresson List_SS'!H6*School!$C$23+'Regresson List_SS'!I6*School!$C$23^2,='Regresson List_SS'!J6+'Regresson List_SS'!K6*School!$C$24+'Regresson List_SS'!L6*School!$C$24^2,0,,Y,,='Regresson List_SS'!G35+'Regresson List_SS'!H35*School!$C$23+'Regresson List_SS'!I35*School!$C$23^2,=P85-School!$F$35,=1-(Q85/P85),Y,,='Regresson List_SS'!G25+'Regresson List_SS'!H25*School!$C$24+'Regresson List_SS'!I25*School!$C$24^2,='Regresson List_SS'!J25+'Regresson List_SS'!K25*School!$C$24+'Regresson List_SS'!L25*School!$C$24^2,,=U85*School!$F$18,=X85/12000,=V85*School!$F$27,=Z85/12000,=Y85-AA85,Y,,,,='Regresson List_SS'!$D$41+'Regresson List_SS'!$E$41*School!$C$24+'Regresson List_SS'!$F$41*School!$C$24^2+'Regresson List_SS'!$G$41*School!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,,SS,VAV,Electric,,,"=CONCATENATE(A86,B86,C86,D86,E86,F86,H86)",='Regresson List_SS'!G7+'Regresson List_SS'!H7*School!$C$23+'Regresson List_SS'!I7*School!$C$23^2,='Regresson List_SS'!J7+'Regresson List_SS'!K7*School!$C$24+'Regresson List_SS'!L7*School!$C$24^2,0,,Y,,='Regresson List_SS'!G30+'Regresson List_SS'!H30*School!$C$23+'Regresson List_SS'!I30*School!$C$23^2,=P86-School!$F$35,=1-(Q86/P86),Y,,=U83,=V83,,=U86*School!$F$18,=X86/12000,=V86*School!$F$27,=Z86/12000,=Y86-AA86,Y,,,,=AG87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,,SS,VAV,Electric,,,"=CONCATENATE(A87,B87,C87,D87,E87,F87,H87)",='Regresson List_SS'!G8+'Regresson List_SS'!H8*School!$C$23+'Regresson List_SS'!I8*School!$C$23^2,='Regresson List_SS'!J8+'Regresson List_SS'!K8*School!$C$24+'Regresson List_SS'!L8*School!$C$24^2,0,,Y,,=P86,=P87-School!$F$35,=1-(Q87/P87),Y,,=U84,=V84,,=U87*School!$F$18,=X87/12000,=V87*School!$F$27,=Z87/12000,=Y87-AA87,Y,,,,=AG88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
